"job_id","job_title","company_name","job_location","job_schedule_type","avg_yearly_salary","job_posted_date","skills"
151019,"Data Analyst - D&T","HEINEKEN","Egypt","Full-time","75550.0","2023-12-10","sql"
151019,"Data Analyst - D&T","HEINEKEN","Egypt","Full-time","75550.0","2023-12-10","python"
151019,"Data Analyst - D&T","HEINEKEN","Egypt","Full-time","75550.0","2023-12-10","azure"
151019,"Data Analyst - D&T","HEINEKEN","Egypt","Full-time","75550.0","2023-12-10","power bi"
151019,"Data Analyst - D&T","HEINEKEN","Egypt","Full-time","75550.0","2023-12-10","dax"
151019,"Data Analyst - D&T","HEINEKEN","Egypt","Full-time","75550.0","2023-12-10","sap"
151019,"Data Analyst - D&T","HEINEKEN","Egypt","Full-time","75550.0","2023-12-10","flow"
569587,"Data Analyst","Contentsquare","Cairo, Egypt","Full-time","57500.0","2023-08-18","python"
751554,"Market Data Analyst f/m","Bosch Group","Egypt","Full-time","51014.0","2023-01-19","sql"
751554,"Market Data Analyst f/m","Bosch Group","Egypt","Full-time","51014.0","2023-01-19","python"
751554,"Market Data Analyst f/m","Bosch Group","Egypt","Full-time","51014.0","2023-01-19","r"
751554,"Market Data Analyst f/m","Bosch Group","Egypt","Full-time","51014.0","2023-01-19","spark"
751554,"Market Data Analyst f/m","Bosch Group","Egypt","Full-time","51014.0","2023-01-19","excel"
751554,"Market Data Analyst f/m","Bosch Group","Egypt","Full-time","51014.0","2023-01-19","tableau"
687385,"Imaging Geophysicist / Scientist - 2023 Graduate Programme","CGG","Cairo, Egypt","Full-time","50400.0","2023-05-19","flow"
